body;score;nb_replies;stickied;author;id;post_title;post_id;post_link
"""during snowden's time""? you realize he's still alive, right? ";1;1;False;account_1100011;depph89;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
Yes, completely unaware.;1;1;False;streeetcornerkid;depcrgj;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
"Why do you think there will be ""enviable DISSIDENT""?";1;1;False;CheezeyCheeze;deoptia;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
I do, and that's why I give a fuck about privacy not about people who don't give a fuck about privacy you dimwit. Go jump off a bridge and see if I give a fuck. Hint I WON'T;1;0;False;Liquid71;dep9rol;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
"Ah.  This was what prompted the Chinese government to come out with their own ""Red Flag Linux"" distribution, stating that control of the operating system was the ""two bombs and a satellite"" (basic nuclear bomb and hydrogen bomb, plus missile delivery system capabilities) of the modern era.";1;0;False;PinochetIsMyHero;depsb07;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
"Were you completely unaware of Microsoft _NSAKEY?

https://en.wikipedia.org/wiki/NSAKEY";2;1;False;PinochetIsMyHero;dep2wve;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
"Is that why they have this?
https://en.wikipedia.org/wiki/Project_Zero_(Google)
";1;0;False;rhn94;deorqrf;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
"> Considering they were bound by law to stay impartial this makes it even more important and valuable.

That's just false. The DNC and RNC are private organizations as are their primaries. They have no laws they have to abide by during them.

>And add the collusion with journalists and various news outlets, some years ago they were considered Alex Jones level conspiracy theories, now you have Colbert trying to extinguish the fire with an incriminating comeback: ""An agreement is what adults do"".

You're telling me you don't believe that the RNC doesn't do the same thing with Fox and others? 

The DNC hack was nothing more than photographs of someone's dirty laundry. You know it's there without the photographs and having the photographs really doesn't change anything except forcing you to think about it. 
";0;1;False;WildRookie;deormg7;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
Because some of us were paying attention all along, and we like to twit those who weren't.;1;0;False;PinochetIsMyHero;dep2y65;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
"""Oops.""";1;0;False;PinochetIsMyHero;dep2xkp;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
It was common in the early 2000s for anyone who knew this and pointed it out to be labelled a tinfoil-hat wearing conspiracy theorist nutter.  Now in 2017 it's common knowledge and you are labelled in ignorant fool if you didn't know.;1;0;False;charltonh;dep0nlx;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
Not having the courage to put your life on the line for something you believe in is being a pussy, and always has been. ;1;0;False;chaachaachemist;deorb58;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
And you also have a shitload of freelance hackers publishing the same information publicly. The fact that the government actively recruits these unaffiliated hackers kinda proves that they aren't very far ahead of public understanding.;1;0;False;chaachaachemist;deoqwzq;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
"There's a huge difference with ""visible"" and irrefutable, with proof of intent added on top. Considering they were bound by law to stay impartial this makes it even more important and valuable.

And add the collusion with journalists and various news outlets, some years ago they were considered Alex Jones level conspiracy theories, now you have Colbert trying to extinguish the fire with an incriminating comeback: ""An agreement is what adults do"".";1;1;False;;deops0p;BREAKING: CIA turned every Microsoft Windows PC in the world into spyware. Can activate backdoors on demand, including via Windows update.;5y0e33;https://wikileaks.org/ciav7p1/
